area,businessScope,companyController,companyName,issuingAuthority,legalRepresentative,license,licenseDate,qualityRepresentative,registrationAddress,repositoryAddress,validTillDate
经济技术开发区（汉南区）,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,李赛,武汉天医惠民药房有限公司,武汉市开发区食品药品监督管理局（武汉经济技术开发区）,陈祖玲,鄂DA0270628,20131231,李波,武汉经济技术开发区三角湖路官湖景珠公寓一楼商铺12附46,无,2018-12-30
东西湖区,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,汤明起,武汉东明药房连锁有限公司清水湾分店,武汉市东西湖区食品药品监督管理局,,鄂CB0278248,20131230,李元姣,东西湖区金湖清水湾经济适用房小区1栋1层4室,,2018-12-29
汉阳区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,周娬,武汉梓墨赫山大药房有限责任公司,武汉市汉阳区食品药品监督管理局,王洪军,鄂DA0274268,20140102,余晗,武汉市汉阳区十里新村145号万博雅苑1号楼1栋1层4室,,2019-01-01
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,陈伏姣,武汉星添大药房有限公司,武汉市蔡甸区食品药品监督管理局,,鄂DB0278743,20140116,韩兴玲,武汉市蔡甸区后官湖生态宜居新城新天村还建小区,,2019-01-15
洪山区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,周洪波,武汉全民康大药房有限公司,武汉市食品药品监督管理局,李乐,鄂DB0277815,20140114,周洪波,武汉市洪山区卓刀泉南路学雅芳邻商城3－1－205,,2019-01-13
黄陂区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,陈玉玲,武汉市黄陂区德医堂大药房,武汉市黄陂区食品药品监督管理局,,鄂DB0279549,20140122,杜明勇,武汉市黄陂区祁家湾朝前街38号,,2019-01-21
新洲区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张珍爱,武汉欣瑞大药房有限公司保德康药店,武汉市新洲区食品药品监督管理局,,鄂CB0279801,20140122,孙艳荣,武汉市新洲区邾城街永安大道339号,,2019-01-21
东湖新技术开发区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,李瑛,武汉佐今臣健康药房有限公司,武汉市开发区食品药品监督管理局（武汉东湖新技术开发区）,李娟华,鄂DA0270779,20140124,陈婷,武汉市东湖新技术开发区左岭新城一社区14栋1层A-030号门面,,2019-01-23
洪山区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,魏婷,武汉市瑞奇大药房有限公司,武汉市洪山区食品药品监督管理局,李明剑,鄂DB0277817,20140120,晏永生,武汉市洪山区烽胜路毛坦港湾小区1、2号门面,,2019-01-19
黄陂区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,方菊华,武汉市黄陂区圣医堂大药房,武汉市黄陂区食品药品监督管理局,王梅花,鄂DB0279548,20140122,张梦怡,武汉市黄陂区李集街泡桐大道108号,,2019-01-21
江岸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,李芳,武汉市江岸区盛世安康大药房,武汉市江岸区食品药品监督管理局,,鄂DB0271337,20140212,吕咏香,江岸区金桥大道28号世纪家园香利庭苑12栋2层1室,,2019-02-11
东西湖区,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,胡琪,武汉康一家药房有限公司常青店,武汉市东西湖区食品药品监督管理局,陈四秀,鄂DB0278249,20140127,周静,武汉市东西湖区常青花园5号小区3组团第30栋1层5号房（一、二层）,,2019-01-26
黄陂区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,胡芳琴,武汉市黄陂区横店金日堂大药房,武汉市黄陂区食品药品监督管理局,谌红菊,鄂DB0279550,20140122,周亚虹,横店街新航城4-S11-S12,,2019-01-21
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,余信元,武汉市蔡甸区竹君药房,武汉市蔡甸区食品药品监督管理局,,鄂DB0278746,20140313,钱攀,武汉市蔡甸区奓山街白鹤泉西路78号,,2019-03-12
硚口区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,夏瑛,武汉马应龙大药房连锁有限公司简易路药店,武汉市硚口区食品药品监督管理局,田正军,鄂CB0273267,20140312,田承芳,桥口区简易路30号昌泰城市花园商铺1栋1层1号,武汉马应龙大药房连锁有限公司统一配送,2019-03-11
汉阳区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,黄霞,武汉隆益康大药房有限公司,武汉市汉阳区食品药品监督管理局,黄霞,鄂DA0274273,20140321,徐永霞,汉阳区绿地新都会B地块一期第4幢/单元1-2层商2号,,2019-03-20
洪山区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,陈颢林,武汉市祥缘堂大药房有限公司中杰阳光店,武汉市洪山区食品药品监督管理局,,鄂DB0277822,20140328,张丛旺,武汉市关山大道328号武汉中杰阳光哈乐城A3栋第一层部分第4号商铺,,2019-03-27
化学工业区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,郑红云,湖北益生天济大药房连锁有限公司八吉府店,武汉市武汉化学工业区食品药品监督管理局,,鄂CA0270402,20140328,裴琴,武汉化学工业区八吉鑫府黎明村小区16栋8号,,2019-03-27
洪山区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,罗华锋,武汉健康人大药房有限公司石牌岭分店,武汉市洪山区食品药品监督管理局,,鄂CB0277824,20140331,潘运芳,武汉市洪山区石牌岭3号附6,,2019-03-30
汉阳区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,李智威,武汉市康宇堂大药房有限公司,武汉市汉阳区食品药品监督管理局,张玲,鄂DA0274274,20140331,陈慧群,武汉市汉阳区龙江庭苑12A栋-1-5号,,2019-03-30
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,袁林荣,武汉市蔡甸区心怡大药房,武汉市蔡甸区食品药品监督管理局,,鄂DB0278750,20140401,陈艳玲,武汉市蔡甸区张湾街红星村沿渠街27号,,2019-03-31
青山区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张莉,湖北长江大药房连锁武汉有限公司工业四路店,武汉市青山区食品药品监督管理局,,鄂CB0276179,20140416,郑亚丽,武汉市青山区冶金街欣城社区104街12#-11门面,由湖北长江大药房连锁武汉有限公司统一配送,2019-04-15
武昌区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张莉,湖北长江大药房连锁武汉有限公司中山路店,武汉市武昌区食品药品监督管理局,,鄂CB0275456,20140417,王娟,武汉市武昌区中山路390-1-2号1层1号,由湖北长江大药房连锁武汉有限公司统一配送,2019-04-16
江岸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,廖高明,武汉惠好大药房有限公司,武汉市江岸区食品药品监督管理局,涂正艳,鄂DA0271336,20140417,丁翠波,武汉市江岸区后湖大道汉口花园淡莲轩商业地块一楼1-1,,2019-01-26
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,肖国祥,湖北心连心药房连锁有限责任公司丽水天成店,武汉市蔡甸区食品药品监督管理局,白华,鄂CB0278753,20140428,娄小涛,武汉市沌口小区工业区5号地银兴湖景丽舍第1幢1层11商号房,由湖北心连心药房连锁有限责任公司统一配,2019-04-27
汉阳区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,王寒兵,武汉市汉阳区康健大药房,武汉市汉阳区食品药品监督管理局,,鄂DB0274276,20140421,杨万刚,武汉市汉阳区龙兴东路龙阳御园7号楼1层6，7号,,2019-04-20
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,黄志利,武汉市蔡甸区福众大药房,武汉市蔡甸区食品药品监督管理局,,鄂DB0278755,20140508,黄志利,蔡甸街义勇路99号附2号,,2019-05-07
东湖新技术开发区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,丁朝柱,武汉鑫瑞康大药房有限公司,武汉市开发区食品药品监督管理局（武汉东湖新技术开发区）,严红梅,鄂DA0270783,20140425,樊迎春,武汉东湖新技术开发区光谷金融港青春荟项目A-1栋A006-007号商铺,,2019-04-24
青山区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,张莉,湖北长江大药房连锁武汉有限公司恩施街店,武汉市青山区食品药品监督管理局,,鄂CB0276182,20140509,蔡长清,武汉市青山区恩施街109街42门底层28号附1门面,由湖北长江大药房连锁武汉有限公司统一配送,2019-05-08
经济技术开发区（汉南区）,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,赵冬枝,湖北中联大药房连锁有限公司富康分店,武汉市开发区食品药品监督管理局（武汉经济技术开发区）,宋燕燕,鄂CB0270636,20140509,沈成会,武汉经济技术开发区宁康路神龙商业街一期119-120号,,2019-05-08
东湖新技术开发区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,胡巧,武汉万和春药房有限公司,武汉市开发区食品药品监督管理局（武汉东湖新技术开发区）,胡凡,鄂DA0270784,20140513,饶爱玲,武汉市东湖高新技术开发区左岭新城一社区17栋B007,,2019-05-12
江岸区,非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,吴云,武汉藏一堂大药房有限公司,武汉市江岸区食品药品监督管理局,戴晓光,鄂DA0271341,20140516,戴晓光,武汉市江岸区解放大道1477号附1、附2,,2019-05-15
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,代能雄,武汉市蔡甸区祥晟药店,武汉市蔡甸区食品药品监督管理局,,鄂DB0278756,20140519,刘宇,蔡甸区常福新城龙王庙社区28号商铺,,2019-05-18
洪山区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,范家才,武汉安泰康大药房连锁有限公司恒泰分店,武汉市洪山区食品药品监督管理局,,鄂CB0277002,20140519,胡柏林,武昌区八一路336号丰颐苑一栋4号门面,,2019-05-18
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,欧阳万群,武汉市蔡甸区福星大药房,武汉市蔡甸区食品药品监督管理局,,鄂DB0278730,20140526,王玲利,武汉市蔡甸区树潘大街1595号,,2017-11-08
江岸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,周丽华,武汉仁开堂药业有限公司,武汉市江岸区食品药品监督管理局,彭琳,鄂DA0271342,20140514,廖婧,武汉市江岸区百步亭花园百合苑501栋4单元1层5室,,2019-05-13
武昌区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,夏瑛,武汉马应龙大药房连锁有限公司凯乐花园药店,武汉市武昌区食品药品监督管理局,,鄂CB0275460,20140516,林莉,武昌区武珞路五巷46号凯乐花园5栋1层1-2号,,2019-05-15
洪山区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,黄继红,武汉仁杰大药房连锁有限公司四分店,武汉市洪山区食品药品监督管理局,,鄂CB0277213,20140526,余兰,东湖开发区雄楚大街968号紫菘.枫林上城1栋1层2号,,2019-05-25
经济技术开发区（汉南区）,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,赵冬枝,湖北中联大药房连锁有限公司金凯分店,武汉市食品药品监督管理局,宋燕燕,鄂CB0270638,20140528,陈嵘,武汉经济技术开发区金凯购物中心A-02号铺,,2019-05-27
洪山区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,钟永红,武汉康乐堂大药房有限责任公司,武汉市洪山区食品药品监督管理局,廖晓丹,鄂DA0277004,20140609,杨向东,武汉市洪山区青菱街红霞名苑9栋1楼,,2019-06-08
东湖新技术开发区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,罗庚,湖北好邻居医药有限公司,武汉市开发区食品药品监督管理局（武汉东湖新技术开发区）,罗庚,鄂DA0270787,20140610,胡云,武汉市东湖新技术开发区左岭街左岭新城B055商铺,武汉市东湖新技术开发区左岭街左岭新城B055商铺,2019-06-10
蔡甸区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,刘丽霞,武汉福康大药房零售连锁有限公司民康药店,武汉市蔡甸区食品药品监督管理局,,鄂CB0278607,20140609,罗张龙,武汉市蔡甸区蔡甸街树藩大街430号,,2019-06-08
经济技术开发区（汉南区）,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,赵冬枝,湖北中联大药房连锁有限公司经开金街分店,武汉市食品药品监督管理局,宋燕燕,鄂CB0270637,20140528,肖亮,武汉经开万达广场A区第S1幢1-2层B36号房,,2019-05-27
东湖新技术开发区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,王琴,武汉恩泉医药科技有限公司,武汉市开发区食品药品监督管理局（武汉东湖新技术开发区）,彭艺华,鄂DA0270785,20140530,黄蔚,武汉市东湖新技术开发区卓刀泉路299号花假日（保利.华都）17栋1层03室,,2019-05-29
青山区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,周江洋,武汉天地源大药房有限公司工业一路店,武汉市青山区食品药品监督管理局,,鄂DB0206110,20140530,刘玥,武汉市青山区工业一路15号,,2019-05-29
江夏区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,马红,南京医药湖北有限公司藏龙岛健康药房,武汉市江夏区食品药品监督管理局,,鄂CB0279089,20140605,曾福建,武汉市江夏区藏龙岛科技园凤凰大道18号,,2019-06-04
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,刘荣纬,武汉市蔡甸区泰山堂大药房,武汉市蔡甸区食品药品监督管理局,,鄂DB0278758,20140612,鲁兴民,武汉市蔡甸区侏儒街二夹街21号,,2019-06-11
汉阳区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张建东,武汉市汉阳区健之家药房,武汉市汉阳区食品药品监督管理局,,鄂DB0274287,20140625,唐本兴,武汉市汉阳区黄金口惠民苑三期35号楼3-10号商铺,,2019-06-24
江岸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,刘雅琴,武汉浩安大药房有限公司,武汉市江岸区食品药品监督管理局,,鄂DA0271347,20140613,叶艳,武汉市江岸区黎黄陂路38号一层,,2019-06-12
汉阳区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,徐勇,武汉叶开泰药业连锁有限公司郭茨口药店,武汉市汉阳区食品药品监督管理局,王洪涛,鄂CB0274283,20140616,胡玉琴,武汉市汉阳区琴台路505号国信新城三期1栋1层11-12号商铺,,2019-06-15
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,李福华,武汉福康大药房零售连锁有限公司阳慷药店,武汉市蔡甸区食品药品监督管理局,,鄂CB0278668,20140616,彭惠,武汉市蔡甸区蔡甸街三义街54号,,2019-06-15
硚口区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,包兴娥,武汉君远康大药房有限公司,武汉市硚口区食品药品监督管理局,宗春英,鄂DB0273272,20140620,肖远飞,硚口区百姓之春1栋1层1号,,2019-06-19
东湖新技术开发区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,冷敏玲,武汉市老寿星大药房有限公司,武汉市开发区食品药品监督管理局（武汉东湖新技术开发区）,李裴裴,鄂DA0270790,20140620,杨红珍,武汉市东湖开发区豹澥还建小区5期5号门面,,2019-06-19
东西湖区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,辜明,武汉益佳馨大药房有限公司,武汉市东西湖区食品药品监督管理局,高国义,鄂DB0278253,20140623,詹晓莲,武汉市东西湖区金银湖翠堤春晓5栋1单元1层B3,,2019-06-22
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,邵克玲,武汉福康大药房零售连锁有限公司直营中心二...,武汉市蔡甸区食品药品监督管理局,,鄂CB0278643,20140616,周姣玲,武汉市蔡甸区蔡甸街文正街92附2号,,2019-06-15
东湖新技术开发区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,田发明,武汉广德大药房有限公司,武汉市开发区食品药品监督管理局（武汉东湖新技术开发区）,田发明,鄂DA0270792,20140709,姚建军,武汉东湖新技术开发区中芯一路18号4号楼6#1F商铺,,2019-07-08
武昌区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,黄诚清,武汉惠美源大药房有限公司,武汉市武昌区食品药品监督管理局,冯伟,鄂DA0275465,20140702,田丽梅,武汉市武昌区锦绣家园9号楼一层7号,,2019-07-01
经济技术开发区（汉南区）,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,肖国祥,湖北心连心药房连锁有限责任公司米兰小镇店,武汉市开发区食品药品监督管理局（武汉经济技术开发区）,白华,鄂CB0270635,20140702,赵汉,武汉经济技术开发区26R2地块金太阳.米兰小镇（西区）9栋1层3室、4号,无此,2019-04-27
东湖生态旅游风景区,处方药(禁止类与限制类药品除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,兰国堂,湖北天友药业有限公司武汉天友大药房,武汉市开发区食品药品监督管理局（武汉东湖生态旅游风景区）,,鄂DA0270503,20140630,刘俊,武汉市东湖生态旅游风景区东湖景园21栋门面3号,,2019-06-29
洪山区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张春瑞,武汉市和美生活药房有限公司,武汉市洪山区食品药品监督管理局,刘梦成,鄂DA0277008,20140702,谭忠荣,武汉市洪山区青菱乡长江村万科金色城市16号地2号商业楼105-106号,,2019-07-01
江夏区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张艺,武汉市江夏区保寿康大药房,武汉市江夏区食品药品监督管理局,,鄂DB0279112,20140704,谭小静,江夏区经济开发区大桥新区江郡华府20A栋8、9号,,2019-07-03
江岸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,邓体瑛,武汉君安康大药房有限公司解放公园药店,武汉市江岸区食品药品监督管理局,干巧英,鄂DB0271349,20140709,刘亭,武汉市江岸区永清路20号1楼1层门面,,2019-07-08
江岸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,徐勇,武汉叶开泰药业连锁有限公司交易街店,武汉市江岸区食品药品监督管理局,王洪涛,鄂CB0272109,20140703,吕露,武汉市江岸区大智街京汉大道1038号银泰大智嘉园F栋1层3、4室,,2019-07-02
东湖生态旅游风景区,处方药(禁止类与限制类药品除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,曾劲,武汉和顺康药房有限公司,武汉市开发区食品药品监督管理局（武汉东湖生态旅游风景区）,陈顺,鄂DA0270504,20140711,蒋敏,武汉东湖风景区东湖景园36栋1楼,,2019-07-10
洪山区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,廖琼,武汉万佳益欣大药房有限公司,武汉市洪山区食品药品监督管理局,,鄂DB0277019,20140716,王月,武汉市洪山区鲁巷卓刀泉特2号,,2019-07-15
东西湖区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,靳轶,武汉茗生大药房有限责任公司,武汉市东西湖区食品药品监督管理局,毛红菊,鄂DA0278255,20140716,刘立,东西湖区常青花园8号地块B区Z2栋1，2层商6,,2019-07-15
蔡甸区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,马琳,武汉福康大药房零售连锁有限公司第五经营部,武汉市蔡甸区食品药品监督管理局,,鄂CB0278603,20140710,张侠,武汉市蔡甸区蔡甸街蔡甸大街龙腾仕家11-12,,2019-07-09
青山区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,杜鹏,国中医药连锁有限责任公司第五十九分店,武汉市青山区食品药品监督管理局,,鄂CB0276002,20140714,翁德会,青山区船厂村15号,,2019-07-13
武昌区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品***,姜红莉,湖北同仁药业有限公司同仁大药店,武汉市武昌区食品药品监督管理局,,鄂DB0275011,20140721,郑然,武昌区洪山路33号,,2019-07-20
东湖新技术开发区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,王定军,武汉益福康大药房有限公司,武汉市开发区食品药品监督管理局（武汉东湖新技术开发区）,刘伟,鄂DA0270793,20140718,毛文举,武汉东湖新技术开发区光谷软件园三路10号清江山水1.3期18-101号商铺,,2019-07-17
武昌区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,杨芬,老百姓大药房连锁（湖北）有限公司武汉涂家...,武汉市武昌区食品药品监督管理局,,鄂CB0275468,20140721,李旦,武汉市武昌区丁字桥路80附7,由老百姓大药房连锁（湖北）有限公司统一配送,2019-07-20
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,刘中斌,武汉市蔡甸区同康泰大药房,武汉市蔡甸区食品药品监督管理局,,鄂DB0278760,20140723,张良海,武汉市蔡甸区侏儒街新艺街156号,,2019-07-22
硚口区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,陆琼,武汉御药康大药房有限公司,武汉市硚口区食品药品监督管理局,王世桂,鄂DB0273274,20140722,龚媛,硚口区古田路68号广电江湾新城49-50-51号商铺,,2019-07-21
汉阳区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,郑红云,湖北益生天济大药房连锁有限公司青石桥店,武汉市汉阳区食品药品监督管理局,,鄂CB0274288,20140730,刘胜荣,汉阳区青石小区16栋1楼1-1号,,2019-07-29
东西湖区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,汤明起,武汉东明药房连锁有限公司兆丰分店,武汉市食品药品监督管理局,汤明起,鄂CB0278085,20140731,李红光,武汉市东西湖区吴家山吴南花园西区26栋第2-3间,,2019-07-30
青山区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,李存质,武汉康济大药房有限公司,武汉市青山区食品药品监督管理局,桂玉斌,鄂DA0276187,20140731,曹慧,青山区白玉山五街7号,,2019-07-30
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,童奇,武汉市蔡甸区安兴大药房,武汉市蔡甸区食品药品监督管理局,,鄂DB0278762,20140731,陈莉,武汉市蔡甸区侏儒街蟹湖大街276号,,2019-07-30
东西湖区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,王继英,湖北同济堂药房有限公司柏景湾药店,武汉市东西湖区食品药品监督管理局,,鄂CB0273089,20140804,黄文,武汉市东西湖区环湖路39号祥生柏景湾第A8幢1层A14号,,2019-08-03
东湖新技术开发区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,肖兴武,武汉东湖新技术开发区花山瑞丰药店,武汉市开发区食品药品监督管理局（武汉东湖新技术开发区）,,鄂DB0270867,20140731,李娜,武汉市东湖新技术开发区花山花城家园橘园41-1-A2,,2019-07-30
东西湖区,处方药(禁止类除外)、非处方药、中药饮片;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,王化松,湖北同济堂药房有限公司丽景药店,武汉市东西湖区食品药品监督管理局,,鄂CB0275108,20140804,张灿星,武汉市东西湖区金南一路特1号依云苑1栋翡翠110门面,,2019-08-03
